month,description,creator(s),image_url
COVER,Cover,paulionm,https://i.imgur.com/CpfsPil.png
JANUARY,Banner,gday-mate_23,https://i.imgur.com/FhJpkAV.png
FEBRUARY,Banner,CuberSoGreen,https://i.imgur.com/DVHQfCz.png
MARCH,Banner,ThatOtherKageBoi,https://i.imgur.com/vksxKIr.png
APRIL,Banner,Ok-Army-9509,https://i.imgur.com/VWKEyOu.png
MAY,Banner,sneezingsuspense,https://i.imgur.com/MXJcPSO.png
JUNE,Banner,tiberrrr,https://i.imgur.com/Kujx7Cv.png
JULY,Banner,kay10panda,https://i.imgur.com/XJKX51f.png
AUGUST,Banner,kahn1969,https://i.imgur.com/J704Fgh.png
SEPTEMBER,Banner,easternjellyfish,https://i.imgur.com/if8oepz.png
OCTOBER,Banner,kahn1969,https://i.imgur.com/wxi0at9.png
NOVEMBER,Banner,Prussianblue44,https://i.imgur.com/KEQjave.png
DECEMBER,Banner,Diictodom,https://i.imgur.com/78aOMAX.png
